id,name,line,zipcode,address,lat,lon
C1,籬仔內,綠線,82060,高雄市前鎮區瑞隆路與凱旋四路路口,22.352734,114.1277
C2,凱旋瑞田,綠線,82060,高雄市前鎮區凱旋四路與瑞田路口,22.5994952,120.3152603
C3,前鎮之星,綠線,82060,高雄市前鎮區中山三路與凱旋四路路口,22.5954827,120.3131446
C4,凱旋中華,綠線,82060,高雄市前鎮區中華五路與凱旋四路路口,22.5936149,120.3083193
C5,夢時代,綠線,82060,高雄市前鎮區成功二路與時代大道路口,22.5948714,120.3028434
C6,經貿園區,綠線,82060,高雄市前鎮區成功二路與正勤路路口南側,22.6009529,120.3004233
C7,軟體園區,綠線,82060,高雄市前鎮區成功二路與復興三路路口北側,22.6025179,120.3001873
C8,高雄展覽館,綠線,82060,高雄市苓雅區成功二路與新光路路口,22.6065986,120.2986531
C9,旅運中心,綠線,82060,高雄市苓雅區海邊路與苓南前路路口,22.6077772,120.2972047
C10,光榮碼頭,綠線,82060,高雄市苓雅區海邊路與青年二路路口,22.6135613,120.294855
C11,真愛碼頭,綠線,82060,高雄市鹽埕區公園二路與必忠街路口,22.6168197,120.2924303
C12,駁二大義,綠線,82060,高雄市鹽埕區駁二特區大義街路口,22.616889,120.2826027
C13,駁二蓬萊,綠線,82060,高雄市鹽埕區駁二特區七賢三路路口,22.6173644,120.2813474
C14,哈瑪星,綠線,82060,高雄市鼓山區鼓山一路與臨海新路路口,22.6180081,120.2769701
